"GeneName","truemodule","SignalGeneIndicator","p.Weighted","q.Weighted","Cor.Weighted","Z.Weighted","p.Standard","q.Standard","Cor.Standard","Z.Standard"
"Gene1","turquoise",0,0.92590051887173,0.999981955022431,-0.0134934248700397,-0.0934937014762125,0.922115869649408,0.997010540963243,-0.0141846831745692,-0.0982842559413906
"Gene2","turquoise",0,0.996981449831978,0.999981955022431,0.00054890919780773,0.00380295505029716,0.541142783710175,0.991063703624336,0.0884889230417632,0.615483685920104
"Gene3","turquoise",0,0.941046972984327,0.999981955022431,0.0107297702570503,0.0743423085177115,0.886077955521315,0.996962345947713,0.0207847864206341,0.144032339295208
"Gene4","turquoise",0,0.957419829556674,0.999981955022431,-0.00774654904052458,-0.053671276490617,0.866211364049464,0.996962345947713,-0.0244402644218448,-0.169377713373166
"Gene5","turquoise",0,0.947307519679489,0.999981955022431,-0.00958861317125549,-0.0664349148801044,0.678928536979889,0.991063703624336,0.0600027786437995,0.416461821548434
"Gene6","turquoise",0,0.936124714839657,0.999981955022431,-0.0116274355763191,-0.0805626828306669,0.440217230484871,0.991063703624336,-0.111634461138658,-0.778291068556358
"Gene7","turquoise",0,0.952545294187003,0.999981955022431,-0.00863432849288914,-0.0598226125338508,0.772703785789692,0.991063703624336,0.0418897317509131,0.290475542657280
"Gene8","turquoise",0,0.959030570221981,0.999981955022431,-0.00745325465152016,-0.0516390972745206,0.734176342442384,0.991063703624336,0.0492394688811286,0.341555353432712
"Gene9","turquoise",0,0.967303803280524,0.999981955022431,-0.00594724869554081,-0.0412044763265057,0.91694211400647,0.997010540963243,0.0151301667234580,0.104836870385040
"Gene10","turquoise",0,0.960569558387619,0.999981955022431,0.0071730530016168,0.0496976475319957,0.859811049346705,0.996962345947713,-0.0256210303833703,-0.177565995494822
"Gene11","turquoise",0,0.732084168421223,0.999981955022431,0.0496419498197773,0.344354078693599,0.269179834868395,0.991063703624336,0.159292617279425,1.11788544355178
"Gene12","turquoise",0,0.99341979471637,0.999981955022431,0.00119658985557428,0.00829022363779091,0.467858667773857,0.991063703624336,0.105039535033645,0.731783437666117
"Gene13","turquoise",0,0.961807529124733,0.999981955022431,0.00694767606674397,0.0481360735515579,0.804915636115063,0.991920224714194,-0.0358246221587161,-0.248359686983503
"Gene14","turquoise",0,0.792363603604594,0.999981955022431,0.0381802425657049,0.264713490762083,0.329374368307284,0.991063703624336,0.140811495389615,0.985388650976585
"Gene15","turquoise",0,0.951686382624968,0.999981955022431,-0.00879079011894369,-0.0609067339192227,0.99405456867314,0.998818116694308,0.00108115600735738,0.00749047292040705
"Gene16","turquoise",0,0.844703522006933,0.999981955022431,0.0284148279881005,0.196943225331024,0.961766260473994,0.997906536761553,-0.00695518890553748,-0.0481881277985907
"Gene17","turquoise",0,0.938402825317761,0.999981955022431,-0.0112119281948634,-0.0776833999772744,0.954645441351686,0.997906536761553,-0.00825180066453518,-0.0571720985401488
"Gene18","turquoise",0,0.941003300483253,0.999981955022431,-0.0107377329519953,-0.0743974852219224,0.791718978856261,0.991063703624336,-0.0383014770026342,-0.265555273394083
"Gene19","turquoise",0,0.983586359550772,0.999981955022431,-0.0029849405640945,-0.0206803669882376,0.813261133872807,0.995017700496909,0.0342635251386090,0.237524131868368
"Gene20","turquoise",0,0.964329656538465,0.999981955022431,0.00648856354343477,0.0449550332476298,0.70513805902948,0.991063703624336,-0.0548602079918432,-0.380655920971399
"Gene21","turquoise",0,0.914939471654162,0.999981955022431,-0.01549630674931,-0.107374455462475,0.583885682053386,0.991063703624336,-0.079343529178524,-0.551446622984362
"Gene22","turquoise",0,0.953604651218992,0.999981955022431,0.00844136655682064,0.058485586828087,0.477189749652425,0.991063703624336,0.102861033478615,0.716442343539811
"Gene23","turquoise",0,0.906690332741284,0.999981955022431,0.0170055175448434,0.117834720990345,0.849496241332802,0.996962345947713,0.0275274638739415,0.190788163772182
"Gene24","turquoise",0,0.977976473580203,0.999981955022431,-0.00400535837625722,-0.0277501594381462,0.544865390445551,0.991063703624336,0.0876791715923989,0.60980763208773
"Gene25","turquoise",0,0.95520194954314,0.999981955022431,-0.00815044581617609,-0.0564698207014832,0.847090327061431,0.996962345947713,0.0279727882081668,0.19387702861382
"Gene26","turquoise",0,0.894526308962121,0.999981955022431,-0.0192342739390615,-0.133283615740226,0.404971412250254,0.991063703624336,-0.120387973075285,-0.840183063322881
"Gene27","turquoise",0,0.35644163995368,0.999981955022431,0.133200677055068,0.931138656009814,0.138320681251605,0.950415257432097,0.212569634091431,1.50717062224208
"Gene28","turquoise",0,0.97262169312042,0.999981955022431,-0.00497955173127832,-0.0344997741197039,0.626112893869372,0.991063703624336,0.0706008378546773,0.490360575394737
"Gene29","turquoise",0,0.844689066564043,0.999981955022431,0.0284175059320767,0.196961801165970,0.364041089316838,0.991063703624336,0.131128131711684,0.916395023946393
"Gene30","turquoise",0,0.646569390370364,0.999981955022431,-0.0664554745471378,-0.461437090154606,0.249443881676809,0.991063703624336,-0.165940003892592,-1.16582930306496
"Gene31","turquoise",0,0.99857515978959,0.999981955022431,-0.000259100047789994,-0.00179509784831818,0.736140892719794,0.991063703624336,0.0488618740936246,0.338929830272018
"Gene32","turquoise",0,0.889732726234593,0.999981955022431,-0.0201137601586559,-0.139380415060001,0.70314914746619,0.991063703624336,-0.0552480351320006,-0.383355128735736
"Gene33","turquoise",0,0.933389741899896,0.999981955022431,-0.0121263929821108,-0.0840202928244764,0.514362879609798,0.991063703624336,-0.0943964193059925,-0.656930978610629
"Gene34","turquoise",0,0.92590360049848,0.999981955022431,0.0134928621402417,0.0934898017048397,0.879987959045711,0.996962345947713,0.021903891586014,0.151791029996058
"Gene35","turquoise",0,0.801676826299417,0.999981955022431,-0.0364315444506444,-0.252572814172989,0.433264843363445,0.991063703624336,-0.113328883294,-0.790256741148711
"Gene36","turquoise",0,0.94928347232213,0.999981955022431,-0.0092285638416609,-0.0639400886498553,0.551071049802504,0.991063703624336,-0.0863351841231263,-0.600389467444774
"Gene37","turquoise",0,0.975939003701205,0.999981955022431,0.00437601165042932,0.0303181883423572,0.545516993744736,0.991063703624336,0.0875377074601997,0.608816146930638
"Gene38","turquoise",0,0.946319391907215,0.999981955022431,0.00976868674932642,0.0676826765548164,0.51907753613734,0.991063703624336,0.0933455215002435,0.649552837527231
"Gene39","turquoise",0,0.97888496221886,0.999981955022431,-0.00384009586940919,-0.0266051607720554,0.98650260692346,0.998818116694308,-0.00245454535984598,-0.0170056403187506
"Gene40","turquoise",0,0.558256650396407,0.999981955022431,-0.0847879353979607,-0.589551009616604,0.194717431515909,0.985683349914808,-0.186491269931718,-1.31512109043337
"Gene41","turquoise",0,0.895373069887518,0.999981955022431,-0.0190789893870563,-0.132207180316711,0.57296991844442,0.991063703624336,-0.0816486434416165,-0.567573423212459
"Gene42","turquoise",0,0.965250925779607,0.999981955022431,0.00632087729298361,0.0437931973336931,0.994863017755796,0.998818116694308,0.00093414023175467,0.00647191619492882
"Gene43","turquoise",0,0.935746844178425,0.999981955022431,-0.0116963647145546,-0.0810403353468732,0.485287309002167,0.991063703624336,-0.100988757677975,-0.703266037717555
"Gene44","turquoise",0,0.854080590621578,0.999981955022431,0.0266796122567279,0.184907596306066,0.352474328501449,0.991063703624336,0.134293366894306,0.938916804778489
"Gene45","turquoise",0,0.931692223265742,0.999981955022431,-0.0124361509261632,-0.0861668444659335,0.947836503120288,0.997906536761553,0.0094922186376349,0.0657669827698866
"Gene46","turquoise",0,0.941598355337232,0.999981955022431,0.0106292408131186,0.0736457009279793,0.88448261012407,0.996962345947713,0.0210778306256027,0.146063944107354
"Gene47","turquoise",0,0.72529926515445,0.999981955022431,0.0509497650228541,0.353449380552556,0.28472012195934,0.991063703624336,0.154283340596091,1.08185983073664
"Gene48","turquoise",0,0.987637745792622,0.999981955022431,-0.00224809988760005,-0.0155753322618018,0.463433304786907,0.991063703624336,0.106080844165514,0.739120126325891
"Gene49","turquoise",0,0.979695982849354,0.999981955022431,-0.00369256777901918,-0.0255830344282703,0.872253215742228,0.996962345947713,-0.0233270682856978,-0.161658659285543
"Gene50","turquoise",0,0.951242428402423,0.999981955022431,0.00887166587689556,0.061467123163526,0.824640472201769,0.996962345947713,0.0321410661356472,0.222794946913276
"Gene51","turquoise",0,0.929520259128862,0.999981955022431,-0.0128325644768985,-0.0889139359013366,0.897270073029307,0.996962345947713,-0.0187311811171477,-0.129796201482710
